"text","emotion","thinking_pattern","cognitive_bias","confidence_level"
"what if I'm just not meant to be happy","fear","overthinking","negative_bias","0.19"
"I find a way to make things work no matter what I face","neutral","confident","none","0.85"
"I'm buzzing from this win and I want to share it with everyone","excitement","emotional","none","0.93"
"I think I've been faking confidence my whole life","sad","self-doubt","negative_bias","0.23"
"I get so angry when hardworking people are overlooked","angry","emotional","none","0.35"
"what if I can't sustain this pace and burn out completely","fear","overthinking","catastrophizing","0.23"
"I review processes critically to identify what's working","neutral","logical","none","0.81"
"waking up every day with a sense of purpose is really something","happy","confident","none","0.88"
"I always seem to pick the wrong thing at the wrong time","sad","self-doubt","overgeneralization","0.21"
"this project has been a nightmare from start to finish","frustration","emotional","none","0.3"
"what if I get into the grad program and still feel like a failure","fear","overthinking","catastrophizing","0.21"
"I challenge assumptions systematically before forming conclusions","neutral","logical","none","0.82"
"this is shaping up to be one of the best years of my life","happy","emotional","none","0.91"
"I feel like I have nothing interesting or valuable to offer","sad","self-doubt","negative_bias","0.22"
"I'm infuriated by how little accountability there is here","angry","emotional","none","0.36"
"what if I've already hit my ceiling and don't know it","fear","overthinking","catastrophizing","0.22"
"I commit fully to my goals and see them through","neutral","confident","none","0.85"
"I feel electric right now like anything is possible","excitement","emotional","none","0.94"
"people probably see through my confidence to the mess underneath","sad","self-doubt","negative_bias","0.24"
"why is explaining basic things to adults this exhausting","frustration","emotional","none","0.31"
"what if I choose the wrong path and waste the best years of my life","fear","overthinking","catastrophizing","0.2"
"I stay solution-focused even when the situation looks bleak","neutral","logical","none","0.82"
"I'm happier than I've been in a really long time","happy","emotional","none","0.9"
"I always say too much or too little never the right thing","sad","self-doubt","overgeneralization","0.22"
"I snap when nothing gets done even after repeated follow-ups","angry","emotional","none","0.34"
"what if I fail to protect the people who depend on me","fear","overthinking","catastrophizing","0.21"
"I use first-principles thinking to break down complex problems","neutral","logical","none","0.81"
"absolutely living my best life and I know it","happy","confident","none","0.93"
"I don't really know how to describe myself in a way that sounds good","sad","self-doubt","negative_bias","0.28"
"this is the third system crash this week I'm done","frustration","emotional","none","0.31"
"what if I say something that offends everyone in the room","fear","overthinking","catastrophizing","0.24"
"I take ownership of outcomes and avoid blame-shifting","neutral","confident","none","0.83"
"finishing the draft early feels so good really proud of this","happy","confident","none","0.88"
"no matter how hard I try it never seems to be enough","sad","self-doubt","overgeneralization","0.21"
"I am sick of being the only one who follows protocol","angry","emotional","overgeneralization","0.34"
"what if everything changes and I can't adapt","fear","overthinking","catastrophizing","0.23"
"I iterate on my work constantly until it's at the right quality","neutral","logical","none","0.8"
"this feeling of flow when everything clicks is priceless","happy","emotional","none","0.89"
"I probably hold others back more than I help them","sad","self-doubt","negative_bias","0.24"
"I keep thinking about whether I said the right things to her","neutral","overthinking","none","0.39"
"what if this is the beginning of a long decline","fear","overthinking","catastrophizing","0.2"
"I operate with integrity and that gives me confidence","neutral","confident","none","0.84"
"I love that I can look back and see how far I've come","happy","confident","none","0.9"
"I never contribute anything meaningful to conversations","sad","self-doubt","overgeneralization","0.21"
"I swear some people just love creating problems for everyone","angry","emotional","none","0.34"
"what if the feedback I receive crushes my momentum","fear","overthinking","catastrophizing","0.24"
"I use retrospectives to continuously improve how I work","neutral","logical","none","0.81"
"graduating today I'm overwhelmed in the best way possible","excitement","emotional","none","0.96"
"I'm not sure anyone would miss me if I disappeared from a group","sad","self-doubt","negative_bias","0.23"
"I lose patience quickly when systems fail people repeatedly","angry","emotional","none","0.35"
"what if I'm overconfident and this all falls apart","fear","overthinking","catastrophizing","0.22"
"I align stakeholders early to prevent issues downstream","neutral","logical","none","0.81"
"I feel completely at home in my own life right now","happy","emotional","none","0.91"
"I think the bad days reveal who I really am inside","sad","self-doubt","negative_bias","0.25"
"I keep replaying that decision wondering if it was the right one","neutral","overthinking","none","0.4"
"what if I'm not as recovered as I think I am","fear","overthinking","catastrophizing","0.21"
"I understand the expectations and I will meet them","neutral","confident","none","0.84"
"every part of today reminded me why I love being alive","happy","emotional","none","0.94"
"my default setting is just waiting for things to go wrong","sad","self-doubt","negative_bias","0.23"
"this workplace inefficiency is burning me out one day at a time","frustration","emotional","none","0.31"
"what if I've been wrong about who my real friends are","fear","overthinking","catastrophizing","0.23"
"I don't just react I strategize and then act","neutral","logical","none","0.82"
"so grateful to have woken up feeling this good today","happy","emotional","none","0.88"
"I don't think I'm capable of real change","sad","self-doubt","negative_bias","0.2"
"I'm so frustrated I could walk out the door right now","angry","emotional","none","0.34"
"what if this setback defines the rest of my trajectory","fear","overthinking","catastrophizing","0.21"
"I communicate complex ideas clearly and with confidence","neutral","confident","none","0.84"
"wow I cannot believe how well this is all coming together","excitement","emotional","none","0.92"
"I probably overshare and make people uncomfortable","sad","self-doubt","negative_bias","0.27"
"nothing will change unless someone raises their voice here","angry","emotional","none","0.35"
"what if I wake up in ten years and feel like I wasted my twenties","fear","overthinking","catastrophizing","0.2"
"I make room for growth while maintaining consistent output","neutral","logical","none","0.81"
"today I chose myself and it felt absolutely right","happy","confident","none","0.89"
"I feel like I'm always the person no one really worries about","sad","self-doubt","personalization","0.25"
"I keep doing the extra work and never see it acknowledged","frustration","emotional","personalization","0.32"
"what if I peak professionally too early","fear","overthinking","catastrophizing","0.23"
"I navigate uncertainty with calm and strategic clarity","neutral","logical","none","0.82"
"I hit a new personal record and honestly nearly cried","happy","emotional","none","0.93"
"I'm probably too needy and that's why people pull away","sad","self-doubt","personalization","0.24"
"this is the most unproductive environment I have ever worked in","frustration","emotional","none","0.3"
"what if my mental health never fully stabilizes","fear","overthinking","catastrophizing","0.19"
"I build on small wins consistently to maintain momentum","neutral","logical","none","0.81"
"I am so genuinely proud of where my life is heading","happy","confident","none","0.91"
"my ideas are never the ones that get implemented","sad","self-doubt","personalization","0.26"
"nobody ever holds themselves accountable around here","angry","emotional","overgeneralization","0.34"
"what if this one loss unravels everything I've worked toward","fear","overthinking","catastrophizing","0.21"
"I invest in my skills regularly and see the return","neutral","logical","none","0.82"
"what a day so much went right absolutely beaming","happy","emotional","none","0.93"
"I wonder sometimes if I've been living the wrong life entirely","sad","overthinking","none","0.3"
"this keeps happening and I have had enough of it","angry","emotional","none","0.35"
"what if my biggest fear about myself turns out to be true","fear","overthinking","catastrophizing","0.2"
"I approach criticism as fuel for improvement","neutral","confident","none","0.83"
"feeling the warmth of gratitude from everyone around me today","happy","emotional","none","0.9"
"I don't deserve the opportunities I've been given","sad","self-doubt","negative_bias","0.22"
"I'm livid about the way this was handled from the start","angry","emotional","none","0.36"
"what if I never feel truly okay again","fear","overthinking","catastrophizing","0.19"
"I simplify complex decisions using clear frameworks","neutral","logical","none","0.81"
"life feels almost cinematic right now in the best way","happy","emotional","none","0.92"
"I think I'm just fundamentally difficult to love","sad","self-doubt","negative_bias","0.2"
"I keep cycling through the same worries every night before sleep","neutral","overthinking","none","0.38"
"what if this setback invalidates everything I thought about myself","fear","overthinking","catastrophizing","0.22"
"I take meaningful steps forward even on difficult days","neutral","confident","none","0.83"
"I am so happy right now I don't even have words for it","happy","emotional","none","0.95"
